Angry,Happy,Neutral
"(np.float64(0.17022275801772568), np.float64(0.04226768633917687))","(np.float64(0.16015709095976025), np.float64(0.046053756705364234))","(np.float64(0.16813903725395093), np.float64(0.0506682405433607))"
"(np.float64(0.7975834442518932), np.float64(0.743206297470708))","(np.float64(0.8541788934855262), np.float64(0.8522347769844573))","(np.float64(0.6433540154106804), np.float64(0.5951985306116298))"
